id,name,from_anime,gender,price,image_url
169,Kurosaki Ichigo,Bleach,m,2743,http://cdn.myanimelist.net/images/characters/4/171879.jpg
170,Kururugi Suzaku,Code Geass,m,1716,http://cdn.myanimelist.net/images/characters/2/31564.jpg
171,Kurusu Shou,Uta No Prince-Sama,m,926,http://cdn.myanimelist.net/images/characters/11/153331.jpg
172,Kusama Nowaki,Junjou Romantica,m,2296,http://cdn.myanimelist.net/images/characters/3/58333.jpg
173,Kuze Hibiki,Devil Survivor 2 The Animation,m,3807,http://cdn.myanimelist.net/images/characters/16/202331.jpg
175,Kyon,Suzumiya Haruhi no Yuuutsu,m,2729,http://cdn.myanimelist.net/images/characters/13/75369.jpg
176,L-elf,Kakumeiki Valvrave,m,944,http://cdn.myanimelist.net/images/characters/5/202055.jpg
177,Lancer (Fate/Zero),Fate (Series),m,693,http://cdn.myanimelist.net/images/characters/11/280846.jpg
178,Layfon Alseif,Chrome Shelled Regios,m,3964,http://cdn.myanimelist.net/images/characters/4/228899.jpg
179,Lelouch Lamperouge,Code Geass,m,1330,http://cdn.myanimelist.net/images/characters/4/277146.jpg
180,Lockon Stratos,Mobile Suit Gundam 00,m,2814,http://cdn.myanimelist.net/images/characters/7/72899.jpg
181,Luke Ainsworth,Seiken no Blacksmith,m,3695,http://cdn.myanimelist.net/images/characters/4/68263.jpg
136,Karasuma Tadaomi,Assassination Classroom,m,4525,https://cdn.myanimelist.net/images/characters/8/274437.jpg
137,Karlheinz,Diabolik Lovers,m,1057,https://diabolik-lovers.fandom.com/wiki/File:4501.png
151,Kirito,Sword Art Online,m,2823,https://cdn.myanimelist.net/images/characters/3/241591.jpg
167,Kuroko Tetsuya,Kuroko no Basket,m,1983,https://cdn.myanimelist.net/images/characters/8/264139.jpg
182,Makishima Shougo,Psycho-Pass,m,1611,http://cdn.myanimelist.net/images/characters/13/192519.jpg
183,Makishima Yuusuke,Yowamushi Pedal,m,2081,http://cdn.myanimelist.net/images/characters/7/218599.jpg
184,Makunouchi Ippo,Hajime no Ippo,m,1323,http://cdn.myanimelist.net/images/characters/11/32678.jpg
185,Manami Sangaku,Yowamushi Pedal,m,1907,http://cdn.myanimelist.net/images/characters/5/229377.jpg
187,Maou Sadao,Hataraku Maou-sama!,m,2930,http://cdn.myanimelist.net/images/characters/3/183237.jpg
188,Masakaki,[C] - CONTROL,m,4672,http://cdn.myanimelist.net/images/characters/14/118413.jpg
189,Sakaki Yuuya,Yu☆Gi☆Oh! Arc-V,m,1489,https://myanimelist.cdn-dena.com/images/characters/2/236975.jpg
190,Mashima Taichi,Chihayafuru,m,1265,http://cdn.myanimelist.net/images/characters/6/239401.jpg
191,Matsuoka Rin,Free!,m,4104,http://cdn.myanimelist.net/images/characters/9/203961.jpg
192,Matsuyuki Atsumu,AnoHana,m,3295,http://cdn.myanimelist.net/images/characters/4/118052.jpg
193,Mephisto Pheles,Ao no Exorcist,m,3391,http://cdn.myanimelist.net/images/characters/13/117925.jpg
194,Midorima Shintarou,Kuroko no Basket,m,4444,http://cdn.myanimelist.net/images/characters/7/165835.jpg
195,Midousuji Akira,Yowamushi Pedal,m,4256,http://cdn.myanimelist.net/images/characters/4/247295.jpg
196,Miketsukami Soushi,Inu x Boku SS,m,2260,http://cdn.myanimelist.net/images/characters/12/164675.jpg
197,Mikisugi Aikurou,Kill la Kill,m,1881,http://cdn.myanimelist.net/images/characters/13/223777.jpg
198,Mikuni Souichirou,[C] - CONTROL,m,2458,http://cdn.myanimelist.net/images/characters/11/120117.jpg
201,Miyuki Kazuya,Diamond no Ace,m,3310,http://cdn.myanimelist.net/images/characters/8/225757.jpg
202,Momonga,Overlord,m,3369,http://cdn.myanimelist.net/images/characters/3/288006.jpg
203,Monkey D Luffy,One Piece,m,3176,http://cdn.myanimelist.net/images/characters/12/274103.jpg
204,Munakata Reishi,K,m,3163,http://cdn.myanimelist.net/images/characters/6/170217.jpg
205,Murasakibara Atsushi,Kuroko no Basket,m,2268,http://cdn.myanimelist.net/images/characters/14/246755.jpg
206,Naegi Makoto,Danganronpa The Animation,m,4068,http://cdn.myanimelist.net/images/characters/16/211593.jpg
207,Nanase Haruka (Free!),Free!,m,3042,http://cdn.myanimelist.net/images/characters/2/203959.jpg
208,Nanba Mutta,Uchuu Kyoudai,m,3028,http://cdn.myanimelist.net/images/characters/6/242299.jpg
209,Naoe Riki,Little Busters!,m,2471,http://cdn.myanimelist.net/images/characters/14/229877.jpg
210,Naoi Ayato,Angel Beats!,m,3281,http://cdn.myanimelist.net/images/characters/8/101119.jpg
211,Narukami Yuu,Persona 4,m,1006,http://cdn.myanimelist.net/images/characters/16/138009.jpg
212,Naruko Shoukichi,Yowamushi Pedal,m,945,http://cdn.myanimelist.net/images/characters/4/266433.jpg
213,Nase Hiroomi,Kyoukai no Kanata,m,4521,http://cdn.myanimelist.net/images/characters/8/222655.jpg
214,Natsu Dragneel,Fairy Tail,m,1655,http://cdn.myanimelist.net/images/characters/15/105542.jpg
215,Natsume Kyousuke,Little Busters!,m,3142,http://cdn.myanimelist.net/images/characters/9/241453.jpg
216,Natsume Takashi,Natsume Yuujinchou,m,3393,http://cdn.myanimelist.net/images/characters/2/47981.jpg
218,Nezumi (No.6),No.6,m,3883,http://cdn.myanimelist.net/images/characters/6/115304.jpg
219,Nice (Hamatora),Hamatora The Animation,m,4240,http://cdn.myanimelist.net/images/characters/6/231475.jpg
220,Niizuma Eiji,Bakuman,m,811,http://cdn.myanimelist.net/images/characters/14/175495.jpg
221,Nitori Aiichirou,Free!,m,4455,http://cdn.myanimelist.net/images/characters/9/249861.jpg
223,Nura Rikuo,Nurarihyon no Mago,m,3346,http://cdn.myanimelist.net/images/characters/4/90134.jpg
224,Obi (Akagami no Shirayukihime),Akagami no Shirayukihime,m,1830,http://cdn.myanimelist.net/images/characters/14/292272.jpg
225,Okabe Rintarou,"Steins;Gate",m,4897,http://cdn.myanimelist.net/images/characters/6/122643.jpg
227,Okazaki Tomoya,Clannad,m,4723,http://cdn.myanimelist.net/images/characters/6/284347.jpg
228,Okita Sougo,Gintama,m,4562,http://cdn.myanimelist.net/images/characters/6/112926.jpg
229,Okumura Rin,Ao no Exorcist,m,3570,http://cdn.myanimelist.net/images/characters/10/114367.jpg
230,Okumura Yukio,Ao no Exorcist,m,4833,http://cdn.myanimelist.net/images/characters/13/114364.jpg
232,Onoda Sakamichi,Yowamushi Pedal,m,861,http://cdn.myanimelist.net/images/characters/9/234881.jpg
233,Ooji Mochizou,Tamako Market,m,1176,http://cdn.myanimelist.net/images/characters/5/192145.jpg
234,Oreki Houtarou,Hyouka,m,751,http://cdn.myanimelist.net/images/characters/6/175479.jpg
235,Orimura Ichika,Infinite Stratos,m,3459,http://cdn.myanimelist.net/images/characters/6/216545.jpg
236,Otosaka Yuu,Charlotte,m,1362,http://cdn.myanimelist.net/images/characters/15/288011.jpg
237,Ouma Shuu,Guilty Crown,m,4118,http://cdn.myanimelist.net/images/characters/14/139133.jpg
238,Ozaki Toshio,Shiki,m,1907,http://cdn.myanimelist.net/images/characters/6/94100.jpg
241,Producer (Idolmaster),Idolmaster,m,4955,http://cdn.myanimelist.net/images/characters/11/122171.jpg
242,Reiner Braun,Shingeki no Kyojin,m,776,http://cdn.myanimelist.net/images/characters/16/206489.jpg
200,Mitsumine Hakuya,Mikakunin de Shinkoukei,m,2818,https://cdn.myanimelist.net/images/characters/8/232933.jpg
226,Okamura Nao,Idolmaster: SideM,m,2237,https://cdn.myanimelist.net/images/characters/2/326589.jpg
217,Negi Springfield,Mahou Sensei Negima!,m,2601,https://cdn.myanimelist.net/images/characters/9/82952.jpg
240,Portgas D Ace,One Piece,m,3366,https://cdn.myanimelist.net/images/characters/13/365923.jpg
243,Ren Hakuryuu,Magi: The Labyrinth of Magic,m,2071,http://cdn.myanimelist.net/images/characters/2/197409.jpg
244,Ren Kouha,Magi,m,2845,http://cdn.myanimelist.net/images/characters/16/200847.jpg
247,Rokudo Mukuro,Katekyo Hitman Reborn!,m,4019,http://cdn.myanimelist.net/images/characters/13/107842.jpg
249,Roronoa Zoro,One Piece,m,2548,http://cdn.myanimelist.net/images/characters/3/100534.jpg
250,Roy Mustang,Fullmetal Alchemist,m,2574,http://cdn.myanimelist.net/images/characters/9/186277.jpg
251,Ryner Lute,Densetsu no Yuusha no Densetsu,m,3742,http://cdn.myanimelist.net/images/characters/4/235589.jpg
252,Ryuugazaki Rei,Free!,m,1745,http://cdn.myanimelist.net/images/characters/2/219131.jpg
253,Sado Taro,MM!,m,882,http://cdn.myanimelist.net/images/characters/2/101188.jpg
254,Sado Yasutora,Bleach,m,1012,http://cdn.myanimelist.net/images/characters/2/102739.jpg
255,Sahashi Minato,Sekirei,m,2504,http://cdn.myanimelist.net/images/characters/11/127659.jpg
256,Sai Akuto,Ichiban Ushiro no Daimaou,m,2822,http://cdn.myanimelist.net/images/characters/4/87609.jpg
257,Saitama (One-Punch Man),One Punch Man,m,4446,http://cdn.myanimelist.net/images/characters/11/294388.jpg
258,Sakai Yuuji,Shakugan no Shana,m,1126,http://cdn.myanimelist.net/images/characters/5/50363.jpg
259,Kinjirou Sakamachi,Mayo Chiki!,m,2154,http://cdn.myanimelist.net/images/characters/9/127495.jpg
260,Sakamaki Ayato,Diabolik Lovers,m,2621,http://cdn.myanimelist.net/images/characters/13/265249.jpg
261,Sakamaki Izayoi,Mondaiji-tachi,m,586,http://cdn.myanimelist.net/images/characters/10/192915.jpg
262,Sakamaki Kanato,Diabolik Lovers,m,4004,http://cdn.myanimelist.net/images/characters/8/265247.jpg
263,Sakamaki Laito,Diabolik Lovers,m,565,http://cdn.myanimelist.net/images/characters/14/290390.jpg
